"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"12698","10","3","6","7","5","98","F","1","L","L","L","L","L","L","L","L","42","4","L","2","4","429020","2","2","1","1","2","1","2","2","1","77","7","0",22,52,45,56500
"12699","10","3","4","1","5","85","M","1","L","L","L","L","L","L","L","L","11","1","16","3","5","116710","2","1","2","1","2","2","1","1","2","11","1","1",21,52,40,85000
"12700","10","3","6","3","5","85","F","2","L","L","L","L","L","L","L","L","61","6","15","5","4","617870","1","1","3","2","1","2","1","1","3","61","6","3",24,52,35,103000
"12701","11","3","1","1","5","85","M","1","L","L","L","L","L","L","L","L","11","1","20","4","3","116710","1","1","1","1","1","1","1","1","1","11","1","2",30,52,40,55000
"12702","10","3","5","4","5","85","F","2","L","L","L","L","L","L","L","L","22","2","15","5","5","226420","1","1","2","1","1","2","1","1","1","11","1","5",26,52,50,90480
"12703","12","3","4","1","5","85","M","3","L","L","L","L","L","L","L","L","12","1","15","4","4","128430","2","2","1","2","1","2","2","2","2","71","7","9",28,52,30,150000
"12704","10","3","1","1","5","93","M","3","L","L","L","L","L","L","L","L","54","5","15","2","1","547280","1","2","1","1","2","1","2","1","2","64","6","10",30,52,40,200000
"12705","10","3","4","7","5","85","M","2","L","L","L","L","L","L","L","L","54","5","15","7","4","547280","2","1","2","2","1","2","1","2","2","11","1","0",24,52,40,140000
"12706","10","3","3","6","4","85","M","2","L","L","L","L","L","L","L","L","54","5","15","4","7","547280","1","1","2","1","2","2","1","1","3","54","5","8",32,52,45,158000
"12707","10","3","1","5","5","85","M","2","L","L","L","L","L","L","L","L","45","4","15","4","5","459240","1","2","1","2","1","2","2","2","1","12","1","8",34,52,40,160000
"12708","10","3","4","5","3","85","M","1","L","L","L","L","L","L","L","L","11","1","15","7","3","116730","1","1","2","3","1","2","1","2","2","11","1","1",23,52,45,125000
"12709","11","3","6","7","4","85","F","1","L","L","L","L","L","L","L","L","43","4","15","2","5","438940","3","2","3","2","3","2","2","2","2","75","7","3",25,52,40,48880
"12710","10","3","6","3","1","85","F","2","L","L","L","L","L","L","L","L","32","3","15","7","7","328720","1","1","1","2","1","2","1","1","1","57","5","3",27,52,43,76258
